"GPU 기종 및 구성","대수","VRAM","가격 ($/hour)"
"RTX 3070","2개","8GB",0.07
"RTX 3090","1개","24GB",0.44
"RTX 4070 Ti","6개","11GB",0.66
"P104-100","18개","8GB",0.17
"GTX 1080 Ti","1개","11GB",0.02
"RTX 5070","1개","11GB",0.06
"RTX 3090","2개","24GB",0.18
"RTX 4070 Ti","1개","11GB",0.44
"RTX 6000 Ada Generation","2개","47GB",0.35
"RTX 3080","1개","10GB",0.06
"RTX 5070","1개","11GB",0.09
"RTX 3070","4개","8GB",0.22
"Mix GPU (RTX 3090 + Quadro RTX 6000)","2개","24GB",0.43
"RTX 3080","1개","10GB",0.07
"RTX 3070","8개","8GB",0.24
"RTX 4090","2개","23GB",0.44
"RTX 3090","1개","24GB",0.09
"RTX 4090","2개","23GB",0.44
"RTX 5090","5개","31GB",1.09
"RTX 3070 Ti","8개","8GB",0.26
"RTX 3070","8개","8GB",0.25
"RTX 3070","8개","8GB",0.25
"RTX 5090","5개","31GB",1.09
"TITAN RTX","2개","24GB",0.18
"RTX 3060","1개","12GB",0.03
"B200","8개","179GB",44.621
"RTX 6000 Ada","2개","48GB",1.205
"RTX 4090","2개","48GB",1.082
"RTX PRO 6000 Ada (추정)","4개","96GB",6.405
"RTX 5060 Ti","2개","16GB",0.218
"RTX 4080","2개","16GB",0.248
"RTX 5090","2개","32GB",1.395
"H200","1개","140GB",3.938
"RTX 4090","1개","24GB",0.379
"H100 NVL","1개","94GB",2.578
"RTX PRO 6000 Ada (추정)","4개","96GB",6.940
"B200","4개","179GB",22.521
"RTX 4070 Super","4개","16GB",0.485
"RTX 4070 Super","1개","16GB",0.140
"RTX PRO 5000 Ada (추정)","1개","48GB",0.605
"RTX 3090","1개","24GB",0.138
"RTX 4080 Super","1개","16GB",0.153
"RTX 4090","2개","24GB",0.888
"RTX PRO 4000 Ada (추정)","1개","32GB",0.325
"RTX 4070 Super","1개","12GB",0.100
"H200","8개","140GB",31.588
"RTX 4070 Super","2개","12GB",0.168
"RTX 4070","2개","12GB",0.192
"RTX 6000 Ada","1개","48GB",0.685
"H200","2개","140GB",4.084
"RTX PRO 6000 Ada (추정)","4개","96GB",4.403
"B200","2개","179GB",12.494
"B200","1개","179GB",6.256
"RTX PRO 5000 Ada (추정)","1개","48GB",0.883
"H200 NVL","2개","140GB",8.367
"H200","2개","140GB",8.426
"RTX PRO 4000 Ada (추정)","2개","24GB",0.608
"H200 NVL","1개","140GB",4.189
"RTX 5060 Ti","4개","16GB",0.541
"RTX 4080 Super","2개","16GB",0.303
"RTX 3090","2개","24GB",0.307
"RTX PRO 5000 Ada (추정)","8개","48GB",5.125
"RTX 5080","4개","16GB",0.649
"RTX 4080","1개","16GB",0.143
"RTX 5090","1개","32GB",0.341
"RTX PRO 6000 Ada (추정)","2개","96GB",2.272
"RTX 5090","1개","32GB",0.350
"RTX 5070 Ti","2개","16GB",0.275
"RTX 5070","2개","12GB",0.209
"RTX PRO 6000 Ada (추정)","1개","96GB",1.206
"RTX 5070","1개","12GB",0.109
"RTX 5090","2개","32GB",0.812
"RTX 4090","1개","48GB",0.301
"RTX 5090","1개","32GB",0.623
"RTX PRO 6000 Ada (추정)","1개","96GB",1.605
"RTX 5090","4개","32GB",2.248
"RTX PRO 6000 Ada (추정)","2개","96GB",2.673
"RTX PRO 6000 Ada (추정)","1개","96GB",1.740
"RTX PRO 5000 Ada (추정)","2개","48GB",1.285
"RTX 5080","2개","16GB",0.329
"RTX 5070 Ti","1개","16GB",0.125
"RTX PRO 6000 Ada (추정)","2개","96GB",3.473
"RTX 5060 Ti","1개","16GB",0.080
"B200","1개","179GB",5.896
"RTX PRO 5000 Ada (추정)","4개","48GB",2.565
"RTX PRO 6000 Ada (추정)","1개","96GB",1.475
"B200","2개","179GB",11.771
"RTX PRO 4000 Ada (추정)","1개","24GB",0.205
"RTX 5080","1개","16GB",0.169
