Date,Cloud Agent ID,Automation ID,Kind,Model,Max Mode,Input (w/ Cache Write),Input (w/o Cache Write),Cache Read,Output Tokens,Total Tokens,Cost
"2026-08-06T23:30:12.915Z","","","Included","auto","No","","","","","","Free"
"2026-08-06T23:12:40.238Z","","","Included","auto","No","","","","","","Free"
"2026-08-06T23:11:38.156Z","","","Included","auto","No","","","","","","Free"
"2026-08-06T23:09:07.335Z","","","Included","auto","No","","","","","","Free"
"2026-08-06T23:04:11.649Z","","","Included","auto","No","","","","","","Free"
"2026-08-06T23:02:11.593Z","","","Included","auto","No","","","","","","Free"
"2026-08-06T22:55:52.230Z","","","Included","auto","No","","","","","","Free"
"2026-08-06T22:54:43.414Z","","","Included","auto","No","","","","","","Free"
"2026-08-06T22:51:33.027Z","","","Included","auto","No","","","","","","Free"
"2026-08-06T22:49:28.756Z","","","Included","auto","No","","","","","","Free"
"2026-08-06T22:48:46.003Z","","","Included","auto","No","","","","","","Free"
"2026-08-06T22:47:51.406Z","","","Included","auto","No","","","","","","Free"
"2026-08-06T22:47:26.271Z","","","Included","auto","No","","","","","","Free"
"2026-08-06T22:44:48.040Z","","","Included","auto","No","","","","","","Free"
"2026-08-06T22:42:18.846Z","","","Included","auto","No","","","","","","Free"
"2026-08-06T22:38:18.730Z","","","Included","auto","No","","","","","","Free"
"2026-08-06T22:35:39.681Z","","","Included","auto","No","","","","","","Free"
"2026-08-06T22:29:45.836Z","","","Included","auto","No","","","","","","Free"
"2026-08-06T22:27:14.385Z","","","Included","auto","No","","","","","","Free"
"2026-08-06T22:26:27.514Z","","","Included","auto","No","","","","","","Free"
"2026-08-06T22:25:25.442Z","","","Included","auto","No","","","","","","Free"
"2026-08-06T22:11:29.620Z","","","Included","auto","No","","","","","","Free"
"2026-08-06T22:09:15.318Z","","","Included","auto","No","","","","","","Free"
"2026-08-06T22:01:09.963Z","","","Included","auto","No","","","","","","Free"
"2026-08-06T22:00:28.334Z","","","Included","auto","No","","","","","","Free"
"2026-08-06T21:58:15.081Z","","","Included","auto","No","","","","","","Free"
"2026-08-06T21:54:41.528Z","","","Included","auto","No","","","","","","Free"
"2026-08-06T21:53:51.524Z","","","Included","auto","No","","","","","","Free"
"2026-08-06T21:53:44.945Z","","","Included","auto","No","","","","","","Free"
"2026-08-06T21:40:35.221Z","","","Included","auto","No","","","","","","Free"
"2026-08-06T21:33:02.131Z","","","Included","auto","No","","","","","","Free"
"2026-08-06T21:29:34.930Z","","","Included","auto","No","","","","","","Free"
"2026-08-06T21:20:39.947Z","","","Included","auto","No","","","","","","Free"
"2026-08-06T21:16:36.676Z","","","Included","auto","No","","","","","","Free"
"2026-08-06T21:11:51.719Z","","","Included","auto","No","","","","","","Free"
"2026-08-06T21:10:12.066Z","","","Included","auto","No","","","","","","Free"
"2026-08-06T21:05:47.249Z","","","Included","auto","No","","","","","","Free"
"2026-08-06T21:03:05.405Z","","","Included","auto","No","","","","","","Free"
"2026-08-06T20:58:59.058Z","","","Included","auto","No","","","","","","Free"
"2026-08-06T20:57:29.494Z","","","Included","auto","No","","","","","","Free"
"2026-08-06T20:55:55.132Z","","","Included","auto","No","","","","","","Free"
"2026-08-06T20:53:55.574Z","","","Included","auto","No","","","","","","Free"
"2026-08-06T20:53:15.149Z","","","Included","auto","No","","","","","","Free"
"2026-08-06T20:39:11.077Z","","","Included","auto","No","","","","","","Free"
"2026-08-06T20:38:36.641Z","","","Included","auto","No","","","","","","Free"
"2026-08-06T20:28:35.937Z","","","Included","auto","No","","","","","","Free"
"2026-08-06T20:17:33.471Z","","","Included","auto","No","","","","","","Free"
"2026-08-06T20:08:00.416Z","","","Included","auto","No","","","","","","Free"
"2026-08-06T20:07:09.357Z","","","Included","auto","No","","","","","","Free"
"2026-08-06T20:06:29.513Z","","","Included","auto","No","","","","","","Free"
"2026-08-06T20:01:31.141Z","","","Included","auto","No","","","","","","Free"
"2026-08-06T19:42:20.541Z","","","Included","auto","No","","","","","","Free"
"2026-08-06T19:42:10.595Z","","","Included","auto","No","","","","","","Free"
"2026-08-06T19:42:04.864Z","","","Included","auto","No","","","","","","Free"
"2026-08-06T15:59:06.365Z","","","Included","auto","No","","","","","","Free"
"2026-08-06T15:56:54.588Z","","","Included","auto","No","","","","","","Free"
"2026-08-06T15:56:05.872Z","","","Included","auto","No","","","","","","Free"
"2026-08-06T15:55:54.360Z","","","Included","auto","No","","","","","","Free"
"2026-08-06T15:54:44.148Z","","","Included","auto","No","","","","","","Free"
"2026-08-06T15:52:59.594Z","","","Included","auto","No","","","","","","Free"
"2026-08-06T15:52:06.727Z","","","Included","auto","No","","","","","","Free"
"2026-08-06T15:50:30.540Z","","","Included","auto","No","","","","","","Free"
"2026-08-06T15:48:50.554Z","","","Included","auto","No","","","","","","Free"
"2026-08-06T15:47:57.045Z","","","Included","auto","No","","","","","","Free"
"2026-08-06T15:44:49.476Z","","","Included","auto","No","","","","","","Free"
"2026-08-06T15:35:04.179Z","","","Included","auto","No","","","","","","Free"
"2026-08-06T15:34:21.079Z","","","Included","auto","No","","","","","","Free"
"2026-08-06T15:31:53.078Z","","","Included","auto","No","","","","","","Free"
"2026-08-06T15:30:40.437Z","","","Included","auto","No","","","","","","Free"
"2026-08-06T15:29:07.816Z","","","Included","auto","No","","","","","","Free"
"2026-08-06T15:27:45.827Z","","","Included","auto","No","","","","","","Free"
"2026-08-06T15:27:33.271Z","","","Included","auto","No","","","","","","Free"
"2026-08-06T15:26:48.872Z","","","Included","auto","No","","","","","","Free"
"2026-08-06T15:26:14.006Z","","","Included","auto","No","","","","","","Free"
"2026-08-06T15:10:11.646Z","","","Included","auto","No","","","","","","Free"
"2026-08-06T15:08:34.128Z","","","Included","auto","No","","","","","","Free"
"2026-08-06T15:06:09.901Z","","","Included","auto","No","","","","","","Free"
"2026-08-06T15:01:32.147Z","","","Included","auto","No","","","","","","Free"
"2026-08-06T14:59:54.989Z","","","Included","auto","No","","","","","","Free"
"2026-08-06T14:57:21.504Z","","","Included","auto","No","","","","","","Free"
"2026-08-06T14:55:27.371Z","","","Included","auto","No","","","","","","Free"
"2026-08-06T14:54:46.306Z","","","Included","auto","No","","","","","","Free"
"2026-08-06T14:53:23.866Z","","","Included","auto","No","","","","","","Free"
"2026-08-06T14:50:21.437Z","","","Included","auto","No","","","","","","Free"
"2026-08-06T14:48:58.939Z","","","Included","auto","No","","","","","","Free"
"2026-08-06T14:48:30.766Z","","","Included","auto","No","","","","","","Free"
"2026-08-06T14:47:46.033Z","","","Included","auto","No","","","","","","Free"
"2026-08-06T14:47:19.585Z","","","Included","cursor-grok-4.5-high-fast","No","0","1717","117504","241","119462","0.13"
"2026-08-06T14:45:51.345Z","","","Included","cursor-grok-4.5-high-fast","No","0","643","57600","931","59174","0.08"
"2026-08-06T14:43:42.283Z","","","Included","cursor-grok-4.5-high-fast","No","0","4894","163328","1014","169236","0.20"
